customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C1000,Male,0,No,No,27,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,One year,No,Electronic check,19.3,523.54,No
C1001,Female,0,No,No,21,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),40.05,835.71,Yes
C1002,Male,0,No,Yes,15,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),91.42,1354.5,No
C1003,Male,1,Yes,No,12,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,46.39,598.57,No
C1004,Male,0,Yes,No,61,Yes,No,No,No internet service,No,No internet service,Yes,No,No,Two year,Yes,Electronic check,54.11,3361.41,No
C1005,Female,0,Yes,No,42,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),78.26,3233.26,No
C1006,Male,1,Yes,Yes,31,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,No,One year,No,Mailed check,73.35,2361.21,No
C1007,Male,0,No,No,66,Yes,No phone service,No,No,No internet service,No,No internet service,Yes,No,One year,No,Credit card (automatic),40.52,2752.62,No
C1008,Male,1,No,No,56,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,107.63,6035.39,Yes
C1009,Female,1,No,No,64,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.03,5369.23,No
C1010,Male,0,No,No,68,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,87.91,5932.51,Yes
C1011,Male,1,Yes,No,48,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,102.51,4923.94,No
C1012,Male,0,No,No,32,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,28.45,984.95,Yes
C1013,Male,0,Yes,No,18,Yes,No,No,No,No,No,Yes,Yes,No internet service,Two year,No,Electronic check,66.35,1189.17,No
C1014,Female,0,No,No,35,Yes,No,No,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,26.8,894.99,No
C1015,Male,1,No,Yes,69,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,Two year,No,Credit card (automatic),25.48,1766.97,No
C1016,Female,0,No,Yes,14,Yes,No,DSL,No internet service,No,Yes,No,No,No,Two year,Yes,Electronic check,91.57,1326.36,No
C1017,Female,0,Yes,Yes,23,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Mailed check,98.55,2272.72,No
C1018,Female,0,Yes,Yes,26,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),23.35,671.57,No
C1019,Male,0,No,Yes,48,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),103.93,5016.8,Yes
C1020,Female,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,One year,No,Mailed check,46.69,931.14,No
C1021,Male,0,No,Yes,32,Yes,Yes,No,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,84.8,2694.43,Yes
C1022,Female,0,Yes,No,40,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),87.94,3539.42,No
C1023,Female,0,Yes,Yes,55,Yes,Yes,DSL,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.03,4877.91,No
C1024,Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,77.11,2115.53,No
C1025,Female,0,No,Yes,30,No,Yes,No,No,No,No,No internet service,No,Yes,Two year,No,Credit card (automatic),29.55,914.42,No
C1026,Female,0,Yes,No,64,No,Yes,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,29.39,1969.91,Yes
C1027,Female,1,No,No,17,No,Yes,DSL,No,No,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),32.38,572.4,No
C1028,Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,No,One year,Yes,Mailed check,111.93,590.15,No
C1029,Female,1,No,No,51,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),39.46,2017.08,No
C1030,Male,0,No,Yes,39,Yes,No phone service,DSL,No,No,No internet service,No,Yes,No internet service,One year,No,Credit card (automatic),33.61,1340.08,Yes
C1031,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),118.82,7561.41,Yes
C1032,Female,0,No,No,41,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.45,792.45,No
C1033,Female,0,No,No,67,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),97.22,6523.75,No
C1034,Female,0,No,No,31,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),104.21,3249.22,No
C1035,Male,0,Yes,No,9,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.54,815.56,No
C1036,Female,0,No,No,68,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,117.44,7925.37,No
C1037,Male,0,Yes,Yes,8,Yes,Yes,DSL,No,Yes,No,No internet service,No,No,Two year,Yes,Electronic check,52.01,404.54,No
C1038,Male,0,Yes,No,68,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),26.97,1859.19,No
C1039,Male,0,No,Yes,60,No,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),42.55,2576.55,No
